date,country,party,pos_corpus,topic,direction,text
200411,61,61320,49,NA,NA,"and in the tough-minded tradition of engagement and leadership-a tradition forged by Wilson and Roosevelt in two world wars, then championed by Truman and Kennedy during the Cold War."
200411,61,61320,50,NA,NA,"We believe in an America that people around the world admire, because they know we cherish not just our freedom, but theirs."
200411,61,61320,51,NA,NA,"Not just our democracy, but their hope for it."
200411,61,61320,52,NA,NA,"Not just our peace and security, but the world's."
200411,61,61320,53,NA,NA,"We believe in an America that cherishes freedom, safeguards our people, forges alliances, and commands respect."
200411,61,61320,54,NA,NA,That is the America we are going to build.
200411,61,61320,55,NA,NA,Our overriding goals are the same as ever: to protect our people and our way of life;
200411,61,61320,56,NA,NA,"and to help build a safer, more peaceful,"
200411,61,61320,57,NA,NA,"more prosperous,"
200411,61,61320,58,NA,NA,more democratic world.
200411,61,61320,59,NA,NA,"Today, we face three great challenges above all others - first, to win the global war against terror;"
200411,61,61320,60,NA,NA,"second, to stop the spread of nuclear, biological and chemical weapons;"
200411,61,61320,61,NA,NA,"and third, to promote democracy and freedom around the world, starting with a peaceful and stable Iraq."
200411,61,61320,62,NA,NA,"To meet these challenges, we need a new national security policy guided by four new imperatives:"
200411,61,61320,63,NA,NA,"First, America must launch and lead a new era of alliances for the post-September 11 world."
200411,61,61320,64,NA,NA,"Second, we must modernize the world's most powerful military to meet the new threats."
200411,61,61320,65,NA,NA,"Third, in addition to our military might, we must deploy all that is in America's arsenal -"
200411,61,61320,66,NA,NA,"our diplomacy,"
200411,61,61320,67,NA,NA,"our intelligence system,"
200411,61,61320,68,NA,NA,"our economic power,"
200411,61,61320,69,NA,NA,and the appeal of our values and ideas.
200411,61,61320,70,NA,NA,"Fourth and finally, to safeguard our freedom and ensure our nation's future, we must end our dependence on Mideast oil."
200411,61,61320,72,NA,NA,"Today, the Bush Administration is waging a war against a global terrorist movement committed to our destruction with insufficient understanding of our enemy or effort to address the underlying factors that can give rise to new recruits."
200411,61,61320,73,NA,NA,This war isn't just a manhunt.
200411,61,61320,74,NA,NA,"We cannot rest until Osama bin Laden is captured or killed, but that day will mark only a victory in the war on terror, not its end."
200411,61,61320,75,NA,NA,Terrorists like al Qaeda and its affiliates are unlike any adversary our nation has ever known.
200411,61,61320,76,NA,NA,"We face a global terrorist movement of many groups, funded from different sources with separate agendas, but all committed to assaulting the United States and free and open societies around the globe."
200411,61,61320,77,NA,NA,"Despite his tough talk, President Bush's actions against terrorism have fallen far short."
200411,61,61320,78,NA,NA,He still has no comprehensive strategy for victory.
200411,61,61320,79,NA,NA,"After allowing bin Laden to escape from our grasp at Tora Bora, he diverted crucial resources from the effort to destroy al Qaeda in Afghanistan."
200411,61,61320,80,NA,NA,His doctrine of unilateral preemption has driven away our allies and cost us the support of other nations.
200411,61,61320,81,NA,NA,"We must put in place a strategy to win - an approach that recognizes and addresses the many facets of this mortal challenge, from the terrorists themselves to the root causes that give rise to new recruits, and uses all the tools at our disposal."
200411,61,61320,82,NA,NA,"Agents of terrorism work in the shadows of more than 60 nations, on every continent."
200411,61,61320,83,NA,NA,"The only possible path to victory will be found in the company of others, not walking alone."
200411,61,61320,84,NA,NA,"With John Kerry as Commander-in-Chief, we will never wait for a green light from abroad when our safety is at stake,"
200411,61,61320,85,NA,NA,but we must enlist those whose support we need for ultimate victory.
200411,61,61320,86,NA,NA,Victory in the war on terror requires a combination of American determination and international cooperation on all fronts.
200411,61,61320,87,NA,NA,"It requires the ability and willingness to direct immediate, effective military action when the capture or destruction of terrorist groups and their leaders is possible;"
200411,61,61320,88,NA,NA,a massive improvement in intelligence gathering and analysis coupled with vigorous law enforcement;
200411,61,61320,89,NA,NA,a relentless effort to shut down the flow of terrorist funds;
200411,61,61320,90,NA,NA,a global effort to prevent failed or failing states that can become sanctuaries for terrorists;
200411,61,61320,91,NA,NA,a sustained effort to deny terrorists any more recruits by conducting effective public diplomacy;
200411,61,61320,92,NA,NA,"and a sustained political and economic effort to improve education,"
200411,61,61320,93,NA,NA,"work for peace,"
200411,61,61320,94,NA,NA,support democracy and extend hope.
200411,61,61320,96,NA,NA,We will train and equip the military to enhance its capabilities to seek out and destroy terrorists.
200411,61,61320,97,NA,NA,We will strengthen the capacity of intelligence and law enforcement around the world by forging stronger international coalitions to provide better information and communication.
200411,61,61320,98,NA,NA,We must also improve our intelligence here at home.
200411,61,61320,99,NA,NA,"From the failure to uncover the September 11th plot to the deeply misguided reports about Iraq's supposed weapons of mass destruction, we have experienced unprecedented intelligence failures in recent years."
200411,61,61320,100,NA,NA,We must do what President Bush has refused to do - reform our intelligence system by creating a true Director of National Intelligence with real control of intelligence personnel and budgets.
200411,61,61320,101,NA,NA,We must train more analysts in languages spoken by terrorists.
200411,61,61320,102,NA,NA,"And we must break down the old communications barriers between national intelligence and local law enforcement, taking care to fully preserve our liberties."
200411,61,61320,104,NA,NA,We will move decisively to cut off the flow of terrorist funds.
200411,61,61320,105,NA,NA,We will impose tough financial sanctions against nations or banks that engage in money laundering or fail to act against it.
200411,61,61320,106,NA,NA,We will strengthen our anti-money laundering laws to prevent terrorists from using hedge funds and unregulated institutions to finance terror.
200411,61,61320,107,NA,NA,"We will launch a ""name and shame"" campaign against those that are financing terror."
200411,61,61320,108,NA,NA,"If nations do not respond, they will be shut out of the U.S. financial system."
200411,61,61320,109,NA,NA,"And in the specific case of Saudi Arabia, we will put an end to the Bush Administration's kid-glove approach to the supply and laundering of terrorist money."
200411,61,61320,111,NA,NA,Nowhere is the need for collective endeavor greater than in Afghanistan.
200411,61,61320,112,NA,NA,The Bush Administration has badly mishandled the war's aftermath.
200411,61,61320,113,NA,NA,"Two years ago, President Bush promised a Marshall Plan to rebuild that country."
200411,61,61320,114,NA,NA,"Instead, he has all but turned away from Afghanistan, allowing it to become again a potential haven for terrorists."
200411,61,61320,115,NA,NA,We must expand NATO forces outside Kabul.
200411,61,61320,116,NA,NA,We must accelerate training for the Afghan army and police.
200411,61,61320,117,NA,NA,The program to disarm and reintegrate warlord militias into society must be expedited and expanded into a mainstream strategy.
200411,61,61320,118,NA,NA,We will attack the exploding opium trade ignored by the Bush Administration by doubling our counter-narcotics assistance to the Karzai Government and reinvigorating the regional drug control program.
200411,61,61320,119,NA,NA,"Beyond Afghanistan, terrorist attacks from Saudi Arabia and Indonesia to Kenya, Morocco, and Turkey point to a widening network of terrorists targeting this country and our friends."
200411,61,61320,120,NA,NA,Failed and failing states like Somalia or countries with large areas of limited government control like the Philippines and Indonesia need international help to close down terrorist havens.
200411,61,61320,122,NA,NA,At the core of this conflict is a fundamental struggle of ideas: democracy and tolerance against those who would use any means and attack any target to impose their narrow views.
200411,61,61320,123,NA,NA,The war on terror is not a clash of civilizations.
200411,61,61320,124,NA,NA,It is a clash of civilization against chaos.
200411,61,61320,125,NA,NA,America needs a major initiative in public diplomacy to support the many voices of freedom in the Arab and Muslim world.
200411,61,61320,126,NA,NA,"To improve education for the next generation of Islamic youth, we need a cooperative international effort to compete with radical Madrassas."
200411,61,61320,127,NA,NA,"And we must support human rights groups,"
200411,61,61320,128,NA,NA,"independent media,"
200411,61,61320,129,NA,NA,and labor unions dedicated to building a democratic culture from the grassroots up.
200411,61,61320,130,NA,NA,"Democracy will not blossom overnight, but America should speed its growth by sustaining the forces of democracy against repressive regimes and by rewarding governments that work toward this end."
200411,61,61320,132,NA,NA,There is no greater threat to American security than the possibility of terrorists armed with weapons of mass destruction.
200411,61,61320,133,NA,NA,Preventing terrorists from gaining access to these weapons must be our number one security goal.
200411,61,61320,134,NA,NA,Containing this massive threat requires American leadership of the highest order -
200411,61,61320,135,NA,NA,"leadership that brings our allies, friends, and partners to greater collaboration and participation"
200411,61,61320,136,NA,NA,- and compels problem states to join and comply with international agreements and abandon their weapons programs.
200411,61,61320,137,NA,NA,"Unfortunately, this Administration's policies have moved America in the opposite direction."
200411,61,61320,138,NA,NA,They have weakened international agreements and efforts to enforce non-proliferation instead of strengthening them.
200411,61,61320,139,NA,NA,They have not done nearly enough to secure existing stockpiles and bomb-making materials.
200411,61,61320,140,NA,NA,They have failed to take effective steps to stop the North Korean and Iranian nuclear programs.
200411,61,61320,141,NA,NA,We must change course now.
200411,61,61320,143,NA,NA,"First, the world should be on notice that we will take every possible measure to defend ourselves against the possibility of attack by unconventional arms."
200411,61,61320,144,NA,NA,"If such an attack appears imminent, we will do everything necessary to stop it."
200411,61,61320,145,NA,NA,"If such a strike does occur, we will respond with overwhelming and devastating force."
200411,61,61320,146,NA,NA,But we should never wait to act until we have no other choice but war.
200411,61,61320,147,NA,NA,We must build and lead an international consensus for early preventive action to lock up and secure existing weapons of mass destruction and the material to manufacture more.
200411,61,61320,149,NA,NA,The first step is to safeguard all bomb making material worldwide.
200411,61,61320,150,NA,NA,"We need to find it, catalog it, and lock it away."
200411,61,61320,151,NA,NA,Our approach should be simple: treat the nuclear materials that make bombs like they are bombs.
200411,61,61320,152,NA,NA,"More than a decade after the fall of the Berlin Wall, Russia still has nearly 20,000 nuclear weapons and enough nuclear material to produce 50,000 more."
200411,61,61320,153,NA,NA,"For most of these weapons and materials, cooperative security upgrades have not been completed."
200411,61,61320,154,NA,NA,The world is relying on whatever measures Russia has taken on its own.
200411,61,61320,155,NA,NA,"At the current pace, it will take 13 years to secure potential bomb material in the former Soviet Union."
200411,61,61320,156,NA,NA,We cannot wait that long.
200411,61,61320,157,NA,NA,We will do it in four years.
200411,61,61320,159,NA,NA,We will lead an international coalition to put an end to the production of new materials - highly enriched uranium and plutonium - for use in nuclear weapons.
200411,61,61320,160,NA,NA,And we will reduce excess stocks of existing nuclear materials and weapons.
200411,61,61320,161,NA,NA,We will conduct a global cleanout initiative to remove stockpiles of vulnerable highly enriched uranium at research reactors and facilities in dozens of countries around the world within four years.
200411,61,61320,163,NA,NA,We must show determined leadership to end the nuclear weapons program in North Korea and prevent the development of nuclear weapons in places like Iran.
200411,61,61320,164,NA,NA,North Korea has sold ballistic missiles and technology in the past.
200411,61,61320,165,NA,NA,The North Koreans have made it clear to the world - and to the terrorists - that they are open for business and will sell to the highest bidder.
200411,61,61320,166,NA,NA,"But while this Administration has been fixated on Iraq, the nuclear dangers from North Korea have multiplied."
200411,61,61320,167,NA,NA,The North Koreans allegedly have made enough new fuel to make six to nine nuclear bombs.
200411,61,61320,168,NA,NA,"We should maintain the six-party talks, but we must also be prepared to talk directly with North Korea to negotiate a comprehensive agreement that addresses the full range of issues for ourselves and our allies."
200411,61,61320,169,NA,NA,But we should have no illusions about Kim Jong Il.
200411,61,61320,170,NA,NA,Any agreement must have rigorous verification and lead to complete and irreversible elimination of North Korea's nuclear weapons program.
200411,61,61320,171,NA,NA,"Even as we have scoured Iraq for signs of weapons of mass destruction, Iran has reportedly been working to develop them next door."
200411,61,61320,172,NA,NA,A nuclear-armed Iran is an unacceptable risk to us and our allies.
200411,61,61320,173,NA,NA,The same is true for other countries that may be seeking nuclear weapons.
200411,61,61320,174,NA,NA,This is why strengthening the Nuclear Nonproliferation Treaty is so critical.
200411,61,61320,175,NA,NA,"We must close the loophole that lets countries develop nuclear weapons capabilities under the guise of a peaceful, civilian nuclear power program."
200411,61,61320,176,NA,NA,We also need to strengthen enforcement and verification and make rigorous inspection protocols mandatory.
200411,61,61320,177,NA,NA,"We must work with every country to tighten export controls,"
200411,61,61320,178,NA,NA,"stiffen penalties,"
200411,61,61320,179,NA,NA,and beef up law enforcement and intelligence sharing.
200411,61,61320,180,NA,NA,"That way we can make absolutely sure that a disaster like the AQ Khan black market network, which grew out of Pakistan's nuclear program, can never happen again."
200411,61,61320,181,NA,NA,We must also take steps to reduce tension between India and Pakistan and guard against the possibility of their nuclear weapons falling into the wrong hands.
200411,61,61320,183,NA,NA,"We know that promoting democracy,"
200411,61,61320,184,NA,NA,"human rights,"
200411,61,61320,185,NA,NA,and the rule of law is vital to our long-term security.
200411,61,61320,186,NA,NA,Americans will be safer in a world of democracies.
200411,61,61320,187,NA,NA,"We will work with people and nongovernmental organizations around the world struggling for freedom,"
200411,61,61320,188,NA,NA,even as we work with their governments to protect our security from weapons of terror.
200411,61,61320,189,NA,NA,We will restore America's credibility and commitment as a force for democracy
200411,61,61320,190,NA,NA,"and human rights, starting in Iraq."
200411,61,61320,191,NA,NA,"We believe that upholding international standards for the treatment of prisoners, wherever they may be held, advances America's national security, the security of our troops, and the values of our people."
200411,61,61320,192,NA,NA,And we believe torture is unacceptable.
200411,61,61320,193,NA,NA,"America should abide by its own laws and the treaties it has ratified, including the Geneva Conventions."
200411,61,61320,194,NA,NA,"We will also support international efforts to address the problem of landmines,"
200411,61,61320,195,NA,NA,while at the same time ensuring that our troops are protected.
200411,61,61320,197,NA,NA,"More than a year ago, President Bush stood on an aircraft carrier under a banner that proclaimed ""mission accomplished."
200411,61,61320,198,NA,NA,""" But today we know that the mission is not finished, hostilities have not ended, and our men and women in uniform fight almost alone with the target squarely on their backs."
200411,61,61320,199,NA,NA,"People of good will disagree about whether America should have gone to war in Iraq, but this much is clear: this Administration badly exaggerated its case, particularly with respect to weapons of mass destruction and the connection between Saddam's government and al Qaeda."
200411,61,61320,200,NA,NA,This Administration did not build a true international coalition.
200411,61,61320,201,NA,NA,This Administration disdained the United Nations weapons inspection process and rushed to war without exhausting diplomatic alternatives.
200411,61,61320,202,NA,NA,"Ignoring the advice of military leaders, this Administration did not send sufficient forces into Iraq to accomplish the mission."
200411,61,61320,203,NA,NA,And this Administration went into Iraq without a plan to win the peace.
200411,61,61320,204,NA,NA,Now this Administration has been forced to change course in order to correct this fundamental mistake.
200411,61,61320,205,NA,NA,They are now taking up the suggestions that many Democrats have been making for over a year.
200411,61,61320,206,NA,NA,"And they must - because having gone to war, we cannot afford to fail at peace."
200411,61,61320,207,NA,NA,We cannot allow a failed state in Iraq that inevitably would become a haven for terrorists and a destabilizing force in the Middle East.
200411,61,61320,208,NA,NA,"And we must secure more help from an international community that shares a huge stake in helping Iraq become a responsible member of that community, not a breeding ground for terror and intolerance."
200411,61,61320,209,NA,NA,"As a first step, we must create a stable and secure environment in Iraq."
200411,61,61320,210,NA,NA,"To do this right, we must truly internationalize both politically and militarily: we cannot depend on a US-only presence."
200411,61,61320,211,NA,NA,"Other nations have a vital interest in the outcome, and we must bring them in to commit troops and resources."
200411,61,61320,212,NA,NA,The Bush Administration has missed three great opportunities to do that.
200411,61,61320,213,NA,NA,"First, the President broke his promise to build a legitimate coalition in Iraq by exhausting diplomacy before resorting to the use of military force."
200411,61,61320,214,NA,NA,"Second, when the statue fell in Baghdad, Kofi Annan invited the United States to come to the table to discuss international support - but we rejected his offer."
200411,61,61320,215,NA,NA,"Third, when the President addressed the United Nations last fall, he once again refused to acknowledge the difficulties we faced in Iraq and failed to elicit support from other nations."
200411,61,61320,216,NA,NA,"The President has not given our troops the clarity of mission, the equipment or the international support they need and deserve."
200411,61,61320,217,NA,NA,We have a different approach based on a simple commitment: Troops come first.
200411,61,61320,218,NA,NA,Our helicopter pilots have flown battlefield missions without the best anti-missile systems.
200411,61,61320,219,NA,NA,"In a Democratic Administration, that will change."
200411,61,61320,220,NA,NA,"Too many of our nation's finest troops have died in attacks, because tens of thousands were deployed to Iraq without the best bulletproof vests, and there is a shortage of armored vehicles on the ground."
200411,61,61320,221,NA,NA,"In a Democratic Administration, that will change."
200411,61,61320,222,NA,NA,Thousands of National Guardsmen and reservists have been forced to leave their families and jobs for more than a year - with no end in sight - because this Administration ignored the pressing need for a true coalition.
200411,61,61320,223,NA,NA,"In a Democratic Administration, that will change."
200411,61,61320,224,NA,NA,"To succeed, America must do the hard work of engaging the world's major political powers in this mission."
200411,61,61320,225,NA,NA,"We must build a coalition of countries, including the other permanent members of the UN Security Council, to share the political, economic, and military responsibilities of Iraq with the United States."
200411,61,61320,226,NA,NA,"To win over allies, we must share responsibility with those nations that answer our call, and treat them with respect."
200411,61,61320,227,NA,NA,"We must lead, but we must listen."
200411,61,61320,228,NA,NA,The rewards of respect are enormous.
200411,61,61320,229,NA,NA,We must convince NATO to take on a more significant role and contribute additional military forces.
200411,61,61320,230,NA,NA,"As other countries, including Muslim majority countries, contribute troops, the United States will be able to reduce its military presence in Iraq, and we intend to do this when appropriate so that the military support needed by a sovereign Iraqi government will no longer be seen as the direct continuation of an American military presence."
200411,61,61320,231,NA,NA,"Second, we need to create an international High Commissioner to serve as the senior international representative working with the Iraqi government."
200411,61,61320,232,NA,NA,"This Commissioner should be backed by a newly broadened security coalition and charged with overseeing elections, assisting with drafting a constitution, and coordinating reconstruction."
200411,61,61320,233,NA,NA,"The Commissioner should be highly regarded by the international community, have the credibility to talk to all the Iraqi people, and work directly with Iraq's interim government, the new U.S. Ambassador, and the international community."
200411,61,61320,234,NA,NA,"At the same time, U.S. and international policies must take into consideration the best interests of the Iraqi people."
200411,61,61320,235,NA,NA,"The Iraqi people desperately need financial and technical assistance that is not swallowed up by bureaucracy and no-bid contracts, but instead goes directly into grassroots organizations."
200411,61,61320,236,NA,NA,"They need to see the tangible benefits of reconstruction: jobs, infrastructure, and services."
200411,61,61320,237,NA,NA,"They should also receive the full benefits of their own oil production as quickly as possible, so as to rebuild their country and help themselves as individuals,"
200411,61,61320,238,NA,NA,while also reducing the costs of security and reconstruction on the American taxpayer and the cost of gasoline to American consumers.
200411,61,61320,239,NA,NA,And they need to be able to communicate their concerns to international authorities without feeling they are being disrespected in their own country.
200411,61,61320,240,NA,NA,America also needs a massive training effort to build Iraqi security forces that can actually provide security for the Iraqi people.
200411,61,61320,241,NA,NA,It must be done in the field and on the job as well as in the classroom.
200411,61,61320,242,NA,NA,Units cannot be put on the street without backup from international security forces.
200411,61,61320,243,NA,NA,"This is a task we must do in partnership with other nations, not just on our own."
200411,61,61320,244,NA,NA,And this is a task in which we must succeed.
200411,61,61320,245,NA,NA,If we fail to create viable Iraqi security forces - military and police - there is no successful exit for us and other nations.
200411,61,61320,246,NA,NA,"The challenges in Iraq are great, but the opportunity is also significant."
200411,61,61320,247,NA,NA,"Under John Kerry and John Edwards, we will meet those challenges, win the peace in Iraq, and help to create new hope and opportunity for the entire Middle East."
200411,61,61320,249,NA,NA,U.S. engagement in Africa should reflect its vital significance to U.S. interests and the moral imperative to help a continent struggling with the scourge of HIV/AIDS and under the long shadow of chronic poverty.
200411,61,61320,250,NA,NA,The HIV/AIDS pandemic in southern and eastern Africa is a massive human tragedy.
200411,61,61320,251,NA,NA,It is also a security risk of the highest order that threatens to plunge nations into chaos.
200411,61,61320,252,NA,NA,Chronic and debilitating hunger also threatens the very survival of communities where investment in agriculture has suffered for over a decade.
200411,61,61320,253,NA,NA,We are committed to bringing the full weight of American leadership to bear against this crisis.
200411,61,61320,254,NA,NA,"We must also work with the United Nations and Africa's regional organizations to address Africa's persistent, disproportionate share of the world's weak, failing states and chronic armed conflicts, and to promote effective relief efforts when there is a humanitarian crisis - particularly at this moment in Sudan."
200411,61,61320,255,NA,NA,"We value our deepening economic ties with Africa, including Central and West Africa's rapidly rising position as a major source of non-Gulf oil."
200411,61,61320,256,NA,NA,We recognize Africa's promise as a trade and investment partner and the importance of trade policies that reduce poverty and promote growth in Africa.
200411,61,61320,257,NA,NA,We will continue to promote policies to support newly democratic states that have shown a commitment to economic reform and respect for human rights.
200411,61,61320,259,NA,NA,"In Asia, we must better engage with China to secure Chinese adherence to international trade, non-proliferation and human rights standards."
200411,61,61320,260,NA,NA,"We are committed to a ""One China"" policy, and will continue to support a peaceful resolution of cross-Straits issues that is consistent with the wishes and best interests of the Taiwanese people."
200411,61,61320,261,NA,NA,"We must maintain our strong relationship with Japan, and explore new ways to cooperate further."
200411,61,61320,262,NA,NA,And we will actively seek to enhance relations with our historic ally South Korea in order to advance our collaborative efforts on economic and security issues.
200411,61,61320,263,NA,NA,"We must also work with our friends, India and Pakistan, in their efforts to resolve longstanding differences."
200411,61,61320,265,NA,NA,"Throughout the 20th century, America's most trusted and reliable allies were the democracies of Europe; together, the two sides of the Atlantic ensured that democracy and free markets prevailed against all challenges."
200411,61,61320,266,NA,NA,"The Bush Administration has allowed the Atlantic partnership to erode, leaving the United States dangerously isolated from its indispensable allies."
200411,61,61320,267,NA,NA,The Democratic Party is committed to revitalizing the Atlantic partnership.
200411,61,61320,268,NA,NA,The international goals that the United States pursues will be easier to attain if Europe and America are working together.
200411,61,61320,269,NA,NA,"We will ensure that NATO remains strong, continuing to consolidate peace in Europe even as the alliance takes on new tasks in Afghanistan and Iraq."
200411,61,61320,270,NA,NA,We look forward to the evolution of the European Union and to a prosperous and unified Europe that joins the United States in meeting today's security challenges and expanding the global economy.
200411,61,61320,272,NA,NA,We believe that it is time to create a new Community of the Americas that reflects our close relationship with our regional neighbors.
200411,61,61320,273,NA,NA,"We will return U.S. -Latin American relations to a place marked by dialogue, consensus and concerted action to address common concerns."
200411,61,61320,274,NA,NA,"We understand that our collective security and prosperity are furthered by mutual efforts to promote democracy, generate wealth, reduce income disparities, and provide sound environmental stewardship."
200411,61,61320,275,NA,NA,We are committed to strong and steady support for democratic processes and institutions in our hemisphere.
200411,61,61320,276,NA,NA,"We believe that democratic governments deserve our support, and that we should exercise our considerable diplomatic and moral force in support of democratically elected leaders."
200411,61,61320,277,NA,NA,"Mexico has made steady progress toward building a mature democracy, and we will make relations with Mexico a priority in order to best address economic, environmental and social issues of concern."
200411,61,61320,278,NA,NA,We support effective and peaceful strategies to end the Castro regime as soon as possible and enable the Cuban people to take their rightful place in the democratic Community of the Americas.
200411,61,61320,279,NA,NA,"We will work with the international community to increase political and diplomatic pressure on the Castro regime to release all political prisoners, support civil society, promote the important work of Cuban dissidents, and begin a process of genuine political reform."
200411,61,61320,280,NA,NA,Within this framework the Democratic Party supports a policy of principled travel to Cuba that promotes family unity and people-to-people contacts through educational and cultural exchanges.
200411,61,61320,281,NA,NA,We will seek to reinforce democratic values in Haiti and throughout the Caribbean.
200411,61,61320,282,NA,NA,"We will support economic development to increase employment and economic opportunity, reducing incentives for emigration by dangerous and life-threatening means."
200411,61,61320,283,NA,NA,We will increase efforts to combat drug-trafficking throughout the Caribbean and ensure that those involved in bringing drugs into the U.S. are brought to justice.
200411,61,61320,284,NA,NA,We will assist in combating corruption so that funds made available for development are used appropriately.
200411,61,61320,286,NA,NA,The Democratic Party is fundamentally committed to the security of our ally Israel
200411,61,61320,287,NA,NA,"and the creation of a comprehensive, just and lasting peace between Israel and her neighbors."
200411,61,61320,288,NA,NA,"Our special relationship with Israel is based on the unshakable foundation of shared values and a mutual commitment to democracy, and we will ensure that under all circumstances, Israel retains the qualitative edge for its national security and its right to self-defense."
200411,61,61320,289,NA,NA,Jerusalem is the capital of Israel and should remain an undivided city accessible to people of all faiths.
200411,61,61320,290,NA,NA,"Under a Democratic Administration, the United States will demonstrate the kind of resolve to end the Israeli-Palestinian conflict that President Clinton showed."
200411,61,61320,291,NA,NA,"We will work to transform the Palestinian Authority by promoting new and responsible leadership, committed to fighting terror and promoting democracy."
200411,61,61320,292,NA,NA,We support the creation of a democratic Palestinian state dedicated to living in peace and security side by side with the Jewish State of Israel.
200411,61,61320,293,1,0,"The creation of a Palestinian state should resolve the issue of Palestinian refugees by allowing them to settle there, rather than in Israel."
200411,61,61320,294,NA,NA,"Furthermore, all understand that it is unrealistic to expect that the outcome of final status negotiations will be a full and complete return to the armistice lines of 1949."
