date,party,pos_corpus,topic,direction,text
200611,22110,22,NA,NA,Nederland is een wereldland.
200611,22110,23,NA,NA,Dat verschuilt zich niet achter de dijken.
200611,22110,24,NA,NA,"Hoop, politieke inzet en betrokkenheid doen er toe."
200611,22110,25,NA,NA,"We zijn met velen die dagelijks strijden voor een rechtvaardige en groene wereld, met meer democratie en minder fundamentalisme."
200611,22110,26,NA,NA,We zijn voor kwijtschelding van schulden van arme landen
200611,22110,27,NA,NA,en willen internationale samenwerking die de allerarmsten echt helpt.
200611,22110,28,NA,NA,Scherpe regels zijn nodig om internationaal opererende bedrijven te dwingen maatschappelijk verantwoord te ondernemen.
200611,22110,29,NA,NA,Globalisering gaat niet vanzelf goed.
200611,22110,30,NA,NA,"Harde internationale afspraken zijn nodig over mensenrechten en eerlijke handel, aids en vogelgriep, water en klimaatverandering."
200611,22110,31,NA,NA,"Alleen dan bereiken we de zogenoemde ‘millenniumdoelen’ die we hebben afgesproken voor 2015: halvering van de extreme armoede, elk kind gaat naar school, gelijkheid van mannen en vrouwen, minder kinder- en moedersterfte en het stoppen van de verspreiding van ziekten als malaria."
200611,22110,32,NA,NA,Landen en internationale organisaties moeten samenwerken om conﬂicten te voorkomen.
200611,22110,33,NA,NA,Maar arme landen bepalen zelf hoe zij zich willen ontwikkelen.
200611,22110,34,NA,NA,Dat moet niet worden voorgeschreven door het Westen.
200611,22110,35,NA,NA,"Het ideaal van een vrij, vreedzaam en welvarend Europa leeft sterk in Polen, Tsjechië, Hongarije en de andere nieuwe lidstaten."
200611,22110,36,NA,NA,Een land als Turkije ziet in Europa zijn toekomst.
200611,22110,37,NA,NA,"De Europese samenwerking, die vrede en stabiliteit oplevert, is een voorbeeld in de wereld."
200611,22110,38,NA,NA,"Europa als tegenwicht tegen eigenzinnige Amerikanen, als pleitbezorger van mensenrechten en als trekker van een groene wereldeconomie."
200611,22110,39,NA,NA,"Een moderne en duurzame Europese economie vraagt om forse investeringen in milieu, kennis en innovatie."
200611,22110,40,NA,NA,Nu gaan miljarden euro’s op aan landbouwbeleid dat ten koste gaat van kleine boeren in ontwikkelingslanden.
200611,22110,41,NA,NA,"GroenLinks is altijd kritisch geweest over ‘het Europa van de markt’, met te weinig plaats voor mens en milieu."
200611,22110,42,NA,NA,"Wij willen een sociaal en groen Europa, dat democratisch en slagvaardig is."
200611,22110,43,NA,NA,Een Europa dat oog heeft voor nationale verschillen en nationale bevoegdheden respecteert.
200611,22110,44,NA,NA,Daarom ijveren wij met andere Europese groene partijen voor een beter Europees verdrag.
200611,22110,45,NA,NA,"De wereld is vol conﬂicten, niet alleen in Irak, Libanon of Afghanistan."
200611,22110,46,NA,NA,Vooral in Afrika woeden burgeroorlogen waar de wereld van wegkijkt.
200611,22110,47,NA,NA,"Nederland en Europa moeten opkomen voor mensenrechten, armoedebestrijding, democratisering en conﬂictpreventie door op tijd politieke en diplomatieke druk uit te oefenen, economische boycots in te zetten en vredesmissies te steunen."
200611,22110,48,NA,NA,"De Amerikaanse geweldspolitiek biedt geen oplossingen, maar werkt averechts."
200611,22110,49,NA,NA,De internationale wapenhandel moet aan banden worden gelegd.
200611,22110,50,NA,NA,"Alleen als grootschalige schending van mensenrechten of genocide dreigt, en als alle vreedzame middelen zijn uitgeput, kan militair ingrijpen gerechtvaardigd zijn."
200611,22110,51,NA,NA,Dat vraagt een helder en uitvoerbaar mandaat van de Verenigde Naties.
200611,22110,52,NA,NA,"Bij opsporing en vervolging van terroristen moeten politie, justitie en veiligheidsdiensten zich gesteund weten."
200611,22110,53,NA,NA,"Moslimterroristen zijn een groot gevaar, niet alleen voor het Westen."
200611,22110,54,NA,NA,Vooral in islamitische landen maken zij veel slachtoffers.
200611,22110,55,NA,NA,Bij de bestrijding van terrorisme moeten we wel zuinig zijn op de rechtsstaat.
200611,22110,56,NA,NA,"Die mag niet opzij worden gezet, zoals Bush doet in Guantanamo Bay."
200611,22110,57,NA,NA,Het speelt hen die kiezen voor geweld in de kaart en maakt de wereld niet veiliger.
200611,22110,58,NA,NA,Ook het conﬂict tussen Israël en de Palestijnen vormt een belangrijke voedingsbodem voor radicalisering.
200611,22110,59,NA,NA,"Het is cruciaal dat er een democratische Palestijnse staat komt, en dat Israël daaraan meewerkt."
200611,22110,60,NA,NA,De muur op Palestijns grondgebied moet worden afgebroken en nederzettingen ontmanteld.
200611,22110,61,NA,NA,De Europese Unie moet de druk maximaal opvoeren op de partijen in het Midden-Oosten en de Verenigde Staten om eindelijk tot echte oplossingen te komen.
200611,22110,62,NA,NA,De spiraal van geweld en vergelding moet worden gestopt.
200611,22110,63,NA,NA,"Zolang er armoede, oorlog en onderdrukking bestaan, slaan mensen op de vlucht."
200611,22110,64,1,1,Wij willen nuchter omgaan met migratie in Nederland.
200611,22110,65,NA,NA,"Het maakt verschil of iemand op de vlucht is, bij zijn of haar gezin wil zijn of werk zoekt."
200611,22110,66,NA,NA,Met goede rechtsbescherming krijgen asielzoekers voldoende tijd en mogelijkheid om hun verhaal te vertellen.
200611,22110,67,NA,NA,"Zij hebben recht op een snelle, maar zorgvuldige beslissing."
200611,22110,68,1,1,"Als hun asielaanvraag in procedure is, mogen zij werken en leren en hebben zij recht op gezondheidszorg."
200611,22110,69,1,1,In de opvang van asielzoekers moet rekening worden gehouden met de kwetsbare positie van kinderen.
200611,22110,70,1,-1,"Mensen die geen vluchteling blijken te zijn en het land dienen te verlaten, worden niet op straat gezet en hun kinderen worden niet uit de klas gehaald als terugkeer naar het herkomstland nog niet mogelijk is."
200611,22110,71,NA,NA,Dat voorkomt dat mensen illegaal in ons land verblijven.
200611,22110,72,2,1,"De 26.000 uitgeprocedeerde asielzoekers die al jaren in Nederland zijn, krijgen alsnog een verblijfsvergunning."
200611,22110,73,1,1,"Ook mensen die om andere redenen naar Nederland willen komen, kunnen rekenen op eerlijke spelregels."
200611,22110,74,1,1,Huwelijksmigranten en kinderen kunnen zich in Nederland bij hun partner of ouder voegen.
200611,22110,75,2,1,"Inburgeren in het moederland is geen voorwaarde voor een verblijfsvergunning,"
200611,22110,76,NA,NA,maar wordt wel gestimuleerd.
200611,22110,77,1,1,Arbeidsmigranten die een bijdrage leveren aan onze economie krijgen eenvoudiger een tijdelijke vergunning om hier te werken en te studeren.
200611,22110,78,NA,NA,In ons veelkleurige land hebben mensen verschillende leefstijlen.
200611,22110,79,2,1,Daar gaan we ontspannen mee om.
200611,22110,80,NA,NA,Iedereen heeft het recht anders te zijn en iedereen beleeft zijn geloof op eigen wijze.
200611,22110,81,2,1,In een vrijzinnig land staan grondrechten als de vrijheid van meningsuiting en de vrijheid van godsdienst hoog in het vaandel.
200611,22110,82,NA,NA,Niemand voelt zich opgesloten in gemeenschappen met opgelegde normen en waarden.
200611,22110,83,NA,NA,Zo worden meisjes niet gedwongen een sluier te dragen.
200611,22110,84,NA,NA,En durven homoseksuele jongeren uit de kast te komen.
200611,22110,85,NA,NA,Iedereen heeft de vrijheid zich te ontplooien en maakt zijn eigen keuzes in het leven.
200611,22110,86,2,0,De afgelopen jaren is ons land veranderd.
200611,22110,87,2,-1,Er heerst een kil klimaat waarin verschillen tussen groepen op scherp zijn gezet.
200611,22110,88,2,-1,"Migranten worden vooral aangesproken op criminaliteit, terrorisme of hun ‘achterlijke’ cultuur."
200611,22110,89,NA,NA,Een toenemend aantal ouderen voelt zich niet meer thuis in deze samenleving en wil liever in seniorensteden wonen.
200611,22110,90,NA,NA,Teveel vrouwen worden gekleineerd en mishandeld.
200611,22110,91,2,0,Besnijdenis bij islamitische vrouwen komt nog steeds voor.
200611,22110,92,NA,NA,Homo’s voelen zich soms zelfs in Amsterdam niet meer veilig.
200611,22110,93,NA,NA,Sommige islamitische jongeren raken verstrikt in gevaarlijke radicale netwerken.
200611,22110,94,NA,NA,Extreem-rechtse jongeren maken zich schuldig aan haat en geweld.
200611,22110,95,NA,NA,Maar onverdraagzaamheid brengt de vertrouwde wijk niet terug en maakt de buurt niet leefbaarder.
200611,22110,96,2,1,"Niemand hoeft zich geheel aan te passen aan dé Nederlandse cultuur, al is het maar omdat die niet bestaat."
200611,22110,97,2,-1,Het is terecht dat het oude motto ‘integratie met behoud van eigen identiteit’ aan de kant is gezet.
200611,22110,98,NA,NA,"Dat ging teveel uit van starre, onveranderlijke culturen waarin individuen ondergeschikt zijn aan de groep."
200611,22110,99,2,1,Ons gaat het om emancipatie van het individu.
200611,22110,100,NA,NA,"Je mag zelf kiezen voor een hoofddoek,een driedelig pak of een roze driehoek."
200611,22110,101,2,1,"Al die verschillen zijn niet altijd gemakkelijk, maar individuen hebben de ruimte nodig om een eigen weg te kiezen, ongeacht herkomst, religie, leeftijd, sekse of seksuele voorkeur."
200611,22110,102,NA,NA,Homo’s mogen zich niet beperkt voelen in de uiting van hun seksuele geaardheid.
200611,22110,103,NA,NA,Gehandicapten krijgen ondersteuning om zelfstandig te leven.
200611,22110,104,NA,NA,Veel lager opgeleiden en islamitische vrouwen moeten zich veel meer emanciperen.
200611,22110,105,NA,NA,Vrouwen mogen niet door hun man of gemeenschap worden belemmerd in hun ontplooiing.
200611,22110,106,NA,NA,Wij zijn tegen gedwongen huwelijken.
200611,22110,107,NA,NA,Organisaties die opkomen voor de rechten van vrouwen of strijden tegen huiselijk geweld krijgen veel meer steun van de overheid.
200611,22110,108,NA,NA,Nederland heeft nog nooit een vrouwelijke minister president gehad.
200611,22110,109,NA,NA,"Het aantal vrouwen in topposities neemt toe, maar moet verder omhoog."
200611,22110,110,NA,NA,Achterstand vermindert als mensen meedoen in het onderwijs en op de arbeidsmarkt.
200611,22110,111,2,-1,"Niet alle migranten die hier al lang wonen, spreken goed Nederlands."
200611,22110,112,NA,NA,Zij krijgen de mogelijkheid dit alsnog te leren met voldoende inburgeringscursussen die aansluiten bij opleidingsniveau en ervaring.
200611,22110,113,2,-1,"Nieuwkomers dienen de Nederlandse taal te leren, in te burgeren, naar school te gaan en te werken."
200611,22110,114,2,1,Maar dan moeten ze net als andere Nederlanders kunnen rekenen op gelijke kansen en een rechtvaardige behandeling.
200611,22110,115,NA,NA,Met alle verschillen is er één grens die niet ter discussie staat: iedereen heeft zich aan de wet te houden.
200611,22110,116,2,1,Bovendien wordt iedereen in gelijke gevallen gelijk behandeld.
200611,22110,117,NA,NA,Artikel 1 van de Grondwet is zeer belangrijk.
200611,22110,118,2,1,Slachtoffers van discriminatie verdienen goede ondersteuning en moeten op eenvoudige wijze hun recht kunnen halen.
200611,22110,119,NA,NA,"Wij willen discriminatie krachtig bestrijden op de werkvloer, bij sollicitaties, in het uitgaansleven en op de woningmarkt."
200611,22110,120,NA,NA,Door bijvoorbeeld discriminerende disco’s te sluiten
200611,22110,121,NA,NA,en sollicitatiebrieven anoniem te maken.
200611,22110,122,NA,NA,De overheid geeft het goede voorbeeld door veel meer ouderen of gehandicapten in dienst te nemen.
200611,22110,123,NA,NA,Samen leven begint met samen wonen in de buurt.
200611,22110,124,NA,NA,Steden moeten meer doen om witte en zwarte wijken tegen te gaan.
200611,22110,125,NA,NA,"Het is belangrijk dat gemeenten harde afspraken maken met woningbouwcorporaties over het bouwen van voldoende betaalbare huurwoningen, zodat mensen, arm en rijk, jong en oud, meer te kiezen krijgen."
200611,22110,126,NA,NA,Corporaties werken immers niet op een vrije woningmarkt; zij hebben een maatschappelijke taak.
200611,22110,127,NA,NA,In grote steden moeten goedkope huizen in ‘dure wijken’ worden gebouwd.
200611,22110,128,NA,NA,Rondom de grote steden worden kleinere gemeenten verplicht te zorgen voor veel meer betaalbare huizen.
200611,22110,129,NA,NA,Zij moeten vaker woningen verhuren aan mensen met lage inkomens die uit de grote stad komen.
200611,22110,130,2,1,Van de islamitische leerlingen gaat op dit moment 95 procent naar een niet-islamitische school.
200611,22110,131,2,1,Maar ouders kunnen voor een islamitische school kiezen.
200611,22110,132,NA,NA,De vrijheid van onderwijs is een groot goed.
200611,22110,133,NA,NA,Van belang is dat alle scholen voldoen aan de hoge eisen die wij allemaal aan de kwaliteit van het onderwijs stellen.
200611,22110,134,NA,NA,Geen enkele school mag kinderen weigeren.
200611,22110,135,NA,NA,De school draagt bij aan de vorming van jongeren tot zelfstandige individuen
200611,22110,136,2,1,die vroeg leren omgaan met verschillen.
200611,22110,137,NA,NA,Het is daarom belangrijk dat kinderen uit verschillende achter-gronden elkaar op jonge leeftijd tegenkomen.
200611,22110,138,NA,NA,De school moet meedoen aan het tegengaan van zwarte en witte scholen.
200611,22110,139,NA,NA,Leren doe je je hele leven.
200611,22110,140,NA,NA,Kennis verrijkt en opent deuren naar nieuwe kansen.
200611,22110,141,NA,NA,We maken kennis met onze omgeving.
200611,22110,142,NA,NA,"Met andere mensen, hun ideeën en opvattingen."
200611,22110,143,NA,NA,Met de samenleving en haar geschiedenis.
200611,22110,144,NA,NA,Leraren spelen een grote rol.
200611,22110,145,NA,NA,"Dag in, dag uit helpen zij onze kinderen op weg."
200611,22110,146,NA,NA,Met de snelste en modernste computers sluit het onderwijs aan bij de digitale leefwereld van jongeren.
200611,22110,147,NA,NA,Flexibel beroepsonderwijs helpt de verdwaalde jongere de weg terug naar school en werk te vinden.
200611,22110,148,NA,NA,De universiteit geeft ruimte aan talenten en is internationaal georiënteerd.
200611,22110,149,NA,NA,"De poort staat open voor de begaafde student, of die nu uit Groningen, Berlijn of New Delhi komt."
200611,22110,150,NA,NA,Zo is het niet in het onderwijs.
200611,22110,151,2,0,"Onze talentenmachine, de motor van emancipatie, hapert."
200611,22110,152,NA,NA,Teveel talent wordt niet herkend en blijft onbenut.
200611,22110,153,NA,NA,Veel kinderen komen op de basisschool met grote achterstanden en maken die op school niet meer goed.
200611,22110,154,NA,NA,Vijftien procent van de jongeren tussen 18 en 24 jaar verlaat het onderwijs zonder diploma.
200611,22110,155,NA,NA,Er zijn verschillende oorzaken: veel opleidingen sluiten niet aan bij de vaardigheden van jongeren of bij de beroepspraktijk.
200611,22110,156,NA,NA,Veel jongeren haken gefrustreerd af omdat zij geen stageplek kunnen vinden.
200611,22110,157,NA,NA,Dat is desastreus voor hun kansen op de arbeidsmarkt.
200611,22110,158,NA,NA,Ook in het hoger onderwijs is na twee decennia bezuinigen de frustratie groot.
200611,22110,159,NA,NA,Studenten krijgen niet de beste colleges in enorme collegezalen.
200611,22110,160,NA,NA,Werkelijke verdieping in een beroepspraktijk of in de wetenschap is nauwelijks mogelijk.
200611,22110,161,NA,NA,Deelname aan het hoger onderwijs is in Nederland in vergelijking met andere westerse landen laag.
200611,22110,162,1,-1,"Buitenlandse studenten en onderzoekers staan niet te trappelen om een bijdrage te leveren aan onze kenniseconomie, zeker niet met alle dwaze bureaucratie en hoge kosten voor een verblijfsvergunning."
200611,22110,163,NA,NA,Het onderwijs heeft forse investeringen nodig.
200611,22110,164,NA,NA,"Scholen moeten meer vrijheid krijgen, met minder richtlijnen vanuit het ministerie en betere afspraken met gemeenten over het tegengaan van achterstanden, schooluitval en segregatie."
200611,22110,165,NA,NA,"De school van de toekomst voldoet aan de menselijke maat, want in onderwijsfabrieken voelt niemand zich thuis."
200611,22110,166,NA,NA,"Geld voor onderwijs is geld voor in de klas, niet voor de salarissen van managers en adviseurs."
200611,22110,167,NA,NA,"Voortaan worden docenten die aan veel scholieren met achterstanden of moeilijk lerende jongeren onderwijs geven, beter betaald."
200611,22110,168,NA,NA,"Leraren krijgen extra steun van gespecialiseerde vakdocenten, onderwijsassistenten en conciërges."
200611,22110,169,NA,NA,Achterstanden ontstaan op jonge leeftijd.
200611,22110,170,NA,NA,Voor jonge kinderen met een (taal-)achterstand moet de voorschool beschikbaar komen.
200611,22110,171,NA,NA,Ouders worden door consultatiebureaus gestimuleerd om hiervan gebruik te maken.
200611,22110,172,NA,NA,Scholen met veel achterstandsleerlingen krijgen extra geld.
200611,22110,173,NA,NA,"Achterstanden worden niet vastgesteld op basis van de kleur van de leerlingen, maar door hun leerprestaties."
200611,22110,174,NA,NA,"Op de basisschool krijgen kinderen niet alleen les, zij spelen met vriendjes en maken ruzie."
200611,22110,175,NA,NA,Kinderen en hun ouders leren om te gaan met verschil.
200611,22110,176,2,1,"Dat stimuleren wij door van alle scholen brede scholen te maken, met voor- en naschoolse opvang en activiteiten als taalles aan allochtone moeders."
200611,22110,177,NA,NA,"Scholen werken ook samen met de jeugdhulpverlening en gezondheidsdiensten, met bibliotheken en sportverenigingen."
200611,22110,178,NA,NA,De school is een centrale ontmoetingsplaats in de wijk.
200611,22110,179,NA,NA,Vooral het VMBO en het MBO zijn toe aan een ﬂinke opknapbeurt.
200611,22110,180,NA,NA,In de kenniseconomie zijn goed opgeleide vakmensen hard nodig.
200611,22110,181,NA,NA,Veel scholieren verlaten de school zonder diploma en komen nooit meer terug.
200611,22110,182,NA,NA,Er is veel meer ﬂexibiliteit nodig om hen aan de school verbonden te houden.
200611,22110,183,NA,NA,"Dat kan met meer verschil in vakkenpakketten, het geven van meer praktijklessen, het combineren van leren en werken en het erkennen van elders opgedane kennis."
200611,22110,184,NA,NA,De gemeenten krijgen een grotere verantwoordelijkheid.
200611,22110,185,NA,NA,Zij maken afspraken met bedrijven over werkervaringsplaatsen en stageplekken.
200611,22110,186,NA,NA,Elke scholier heeft recht op een stageplaats.
200611,22110,187,NA,NA,De kenniseconomie vraagt om grote investeringen in het hoger onderwijs.
200611,22110,188,NA,NA,Op jonge leeftijd weten studenten lang niet altijd welke studie het beste bij hen past.
200611,22110,189,NA,NA,Wij willen het onderwijs vrijer maken met meer ruimte voor studenten om te wisselen van studie of op een latere leeftijd de studie af te maken.
200611,22110,190,NA,NA,Tegelijkertijd wordt de kwaliteit van hogescholen en universiteiten opgekrikt door hen meer ruimte te geven om zich te onderscheiden.
200611,22110,191,2,1,"Studenten, ook uit het buitenland, kunnen dan een keuze maken uit een groot onderwijsaanbod."
200611,22110,192,NA,NA,Er wordt meer geld vrijgemaakt voor jonge onderzoekers.
200611,22110,193,2,1,"Met universiteiten worden afspraken gemaakt over personeelsbeleid waardoor meer vrouwen, migranten en jonge mensen in dienst treden."
200611,22110,194,NA,NA,Hoger opgeleiden verdienen na het afstuderen veel meer dan lager opgeleiden en kunnen best meer zelf voor de studie betalen.
200611,22110,195,NA,NA,Dat kan door het terugbetalen van een studielening afhankelijk te maken van het inkomen dat na de opleiding wordt verdiend.
200611,22110,196,NA,NA,Daardoor hoeven studenten niet bang te zijn dat zij de lening niet kunnen terugbetalen.
200611,22110,197,NA,NA,"De studiebeurs wordt verhoogd, waardoor studenten minder afhankelijk zijn van ouders en bijbanen."
200611,22110,198,NA,NA,"Ruimte voor ontspanning, ﬁjn wonen, goed en gezond eten horen bij een goed leven."
200611,22110,199,NA,NA,We gaan zorgvuldig om met onze natuur en mooie landschappen.
200611,22110,200,NA,NA,Op ons vitale platteland verdienen boeren hun inkomen met duurzame landbouw en de zorg voor het landschap.
200611,22110,201,NA,NA,"De drukke en dynamische stad is leefbaar door groene parken, grote speeltuinen en sportvelden."
200611,22110,202,NA,NA,"Openbaar vervoer, verlichte ﬁetspaden en veilige wandelroutes maken de stad toegankelijk."
200611,22110,203,NA,NA,Ook ‘s avonds en ‘s nachts is het openbaar vervoer veilig en kunnen mensen alleen over straat.
200611,22110,204,NA,NA,De wijken en dorpen hebben een gevarieerd en voldoende aanbod van woningen en voorzieningen.
200611,22110,205,NA,NA,Zo zorgvuldig zijn we niet met onze leefomgeving.
200611,22110,206,NA,NA,Geleidelijk verdwijnt door teveel asfalt en beton de ruimte voor spelen en ontspanning.
200611,22110,207,NA,NA,"Het toenemend aantal auto’s verstopt de stad, met ergernis, herrie en luchtvervuiling tot gevolg."
200611,22110,208,NA,NA,Jaarlijks sterven 18.000 Nederlanders tien jaar eerder door vieze lucht.
200611,22110,209,NA,NA,Kwetsbaar natuurgebied dreigt te worden versnipperd door nieuwe snelwegen.
200611,22110,210,NA,NA,"Het landschap wordt ontsierd door wilde bebouwing, lelijke kantoordozen en industriële landbouwmethoden."
200611,22110,211,NA,NA,"Gemeenten, projectontwikkelaars en recreatieondernemers trekken zich weinig aan van het landschap."
200611,22110,212,NA,NA,Het leven is prettig in een omgeving die veilig en schoon is.
200611,22110,213,NA,NA,We investeren in hoogwaardig openbaar vervoer rondom en tussen de grote steden.
200611,22110,214,NA,NA,"Op het platteland is de auto niet weg te denken, maar voor hen die niet zelf rijden is openbaar vervoer beschikbaar."
200611,22110,215,NA,NA,We experimenteren met gratis openbaar vervoer.
200611,22110,216,NA,NA,Dat is uitstekend toegankelijk voor ouderen en gehandicapten.
200611,22110,217,NA,NA,Auto’s en bussen worden schoner door schone technologie en het ﬁlteren van uitlaatgassen.
200611,22110,218,NA,NA,"Door snel een slimme kilometerhefﬁng in te voeren, betalen autogebruikers de werkelijke kosten en worden zij gestimuleerd om zuinig te rijden."
200611,22110,219,NA,NA,Mensen met schone auto’s betalen minder dan mensen met benzineslurpers.
200611,22110,220,NA,NA,Europa kan bijspringen door goede milieunormen te stellen aan nieuwe auto’s.
200611,22110,221,NA,NA,"Zo wordt onze omgeving niet alleen schoner, maar wordt ook het broeikaseffect aangepakt."
200611,22110,222,NA,NA,Wij willen geen nieuwe snelwegen of wegverbredingen.
200611,22110,223,NA,NA,Nederland heeft prachtige landschappen.
200611,22110,224,NA,NA,Het is zonde dat die worden verrommeld.
200611,22110,225,NA,NA,Daarom willen wij in de ruimtelijke ordening duidelijke sturing door de overheid.
200611,22110,226,NA,NA,"Wij pleiten voor een grootschalige opknapbeurt van het landschap, met meer ruimte voor water, recreatie en duurzame landbouw."
200611,22110,227,NA,NA,Onze landbouw wordt overheerst door grootschalige landbouwmethoden.
200611,22110,228,NA,NA,Tegelijkertijd zitten veel boeren krap bij kas.
200611,22110,229,NA,NA,Boeren moeten worden betaald voor groene diensten zoals het onderhoud van het landschap.
200611,22110,230,NA,NA,In Europa streven wij naar verdere hervorming van de landbouw.
200611,22110,231,NA,NA,"Het aandeel biologische landbouw is in Nederland slechts 1,4 procent van de totale landbouw."
200611,22110,232,NA,NA,"In vergelijking met 1997 is dit een verdubbeling, maar het blijft veel te weinig."
200611,22110,233,NA,NA,Met belastingmaatregelen verminderen we het prijsverschil tussen gewone en biologische producten.
200611,22110,234,NA,NA,Het leven van dieren is belabberd in de bio-industrie.
200611,22110,235,NA,NA,Die wordt geleidelijk afgebouwd.
200611,22110,236,NA,NA,Dieren hebben recht op een goed leven.
200611,22110,237,NA,NA,Dierenrechten nemen we op in de Grondwet en in een nieuw Europees verdrag.
200611,22110,238,NA,NA,We verbieden grootschalige veetransporten.
200611,22110,239,NA,NA,We willen geen plezierjacht meer.
200611,22110,240,NA,NA,We stoppen het houden van nertsen en andere pelsdieren.
200611,22110,241,NA,NA,Het aantal dierproeven moet snel omlaag.
200611,22110,242,NA,NA,Mishandeling van dieren wordt strenger aangepakt.
200611,22110,243,NA,NA,Wilde dieren krijgen de ruimte en worden met rust gelaten in de natuur.
200611,22110,244,NA,NA,We houden van het goede leven.
200611,22110,245,NA,NA,"Biologische melk, appels en vlees zijn niet alleen beter voor mens en milieu, maar ook lekkerder."
200611,22110,246,NA,NA,Het platteland is belangrijk als recreatiegebied en als woonomgeving.
200611,22110,247,NA,NA,Zo willen wij bouwen aan een nieuwe relatie tussen stad en platteland.
200611,22110,248,NA,NA,"Kinderen uit de stad kunnen op schoolreis meehelpen op de boerderij, dieren verzorgen en leren dat lekker en gezond eten niet uit een automaat komt."
200611,22110,249,NA,NA,Onze smaak wordt teveel beïnvloed door de voedingsindustrie die overvloedig vetten en suikers in ons voedsel stopt.
200611,22110,250,NA,NA,"In school- en bedrijfskantines, bejaardentehuizen en ziekenhuizen moeten verse en gezonde maaltijden komen."
200611,22110,251,NA,NA,Wij willen een Nederlandse Jamie Oliver.
200611,22110,252,NA,NA,"Laten we jaarlijks een Kok van het Goede Leven benoemen die ons vertelt over de lekkere en gezonde keuken, zoals bijvoorbeeld onze topkok Pierre Wind of de biologische kok Andy McDonald."
200611,22110,253,NA,NA,"Veel mensen die een eigen huis willen, hebben weinig te kiezen."
200611,22110,254,NA,NA,Zoals starters die voor het eerst een eigen woning zoeken.
200611,22110,255,NA,NA,De woningmarkt is krap en kent weinig doorstroming.
200611,22110,256,NA,NA,Meer geld is nodig om oude wijken op te knappen.
200611,22110,257,NA,NA,De gemeente moet er op toezien dat voor mensen met verschillende woonwensen voldoende betaalbare en duurzame huur- en koopwoningen worden gebouwd.
200611,22110,258,NA,NA,"Ook jongeren, ouderen en mensen met lagere inkomens krijgen dan meer kans op een nieuwe woning."
200611,22110,259,NA,NA,De hypotheekrenteaftrek wordt beperkt
200611,22110,260,NA,NA,en meer gericht op mensen met lage- en middeninkomens.
200611,22110,261,NA,NA,400.000 Huurders hebben aangegeven hun woning te willen kopen.
200611,22110,262,NA,NA,Huurders krijgen meer rechten om hun woning te kopen of te verbouwen.
200611,22110,263,NA,NA,Wij willen geen liberalisering van de huren die woningen onbetaalbaar maakt.
200611,22110,264,NA,NA,Het is zonde om het Nederlandse landschap lukraak vol te bouwen.
200611,22110,265,NA,NA,In veel gemeenten is er binnen de bebouwde kom ruimte voor nieuwe woningen.
200611,22110,266,NA,NA,Lege kantoorpanden kunnen worden omgebouwd tot moderne woningen.
200611,22110,267,NA,NA,"Mensen die in eigen beheer een woning willen bouwen, krijgen voorrang boven projectontwikkelaars."
200611,22110,268,NA,NA,De moderne economie is schoon en slim.
200611,22110,269,NA,NA,"Meer economische welvaart is geen doel op zich, maar staat ten dienste van ons welzijn en van die van toekomstige generaties."
200611,22110,270,NA,NA,We lopen in de wereld voorop met groene innovaties en duurzame technologieën.
200611,22110,271,NA,NA,In tijden van globalisering creëren we zo nieuw werk
200611,22110,272,NA,NA,en helpen we andere landen hun economie duurzaam te maken.
200611,22110,273,NA,NA,De sleutel tot een duurzame economie is een groene energievoorziening.
